method,mean_intensity,std_intensity,contrast_ratio,laplacian_variance,entropy,edge_density,dynamic_range,local_contrast_consistency,filename,split,source
current_zscore,-0.0027114463,0.0073572104,-2.714390800668841,0.1279420852652038,1.0060896476058627,0.0,0.03710431,601.1094529496621,meattest-6_r7_c4.jpg,train,dataset_tile
clahe_percentile,0.60946345,0.25583118,0.4197639101358628,78.66439862027983,7.8137939790510265,0.07280921936035156,1.0,17.853028999279747,meattest-6_r7_c4.jpg,train,dataset_tile
mild_clahe_percentile,0.6507138,0.23646018,0.363385278139647,67.82937471326198,7.671788528338677,0.065765380859375,1.0,18.193591122096194,meattest-6_r7_c4.jpg,train,dataset_tile
percentile_only,0.70611215,0.20338762,0.28803828268639486,27.18237039955784,7.354578851231849,0.027547836303710938,1.0,21.756624035524062,meattest-6_r7_c4.jpg,train,dataset_tile
current_zscore,0.003563929,0.002355683,0.6607937548165943,0.16293239589049335,0.9571706792392054,0.0,0.03368885,1657.0341006096035,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,dataset_tile
clahe_percentile,0.82286537,0.109568216,0.13315432530635665,93.9998909709393,6.242580405750927,0.05524444580078125,1.0,33.552763020743406,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,dataset_tile
mild_clahe_percentile,0.8473075,0.09789989,0.1155422034166529,72.87559052492361,6.0175638744992535,0.03643989562988281,1.0,35.20387693413935,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,dataset_tile
percentile_only,0.8682644,0.086653985,0.09980126740837526,27.777167483916855,5.506384793579662,0.007842063903808594,1.0,45.224703969195886,6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,dataset_tile
current_zscore,-0.0012601387,0.007287843,-5.787958990948543,0.10623168922029436,0.8574537731296216,0.0,0.037104312,722.3248373533937,Meat_Lauren_r3_c2.jpg,train,dataset_tile
clahe_percentile,0.6568532,0.2517551,0.38327392737846944,83.26340784667991,7.617564104067417,0.0712747573852539,1.0,19.57703347449909,Meat_Lauren_r3_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.6845994,0.23605324,0.3448044193793605,68.23402097153209,7.474845130092627,0.05886650085449219,1.0,20.529762125601533,Meat_Lauren_r3_c2.jpg,train,dataset_tile
percentile_only,0.74514,0.20233762,0.2715427258416802,25.120036488383448,7.002372302999424,0.01806163787841797,1.0,26.038953812780132,Meat_Lauren_r3_c2.jpg,train,dataset_tile
current_zscore,0.0017651748,0.0048085656,2.722587608893185,0.1962947844149312,1.015555436507436,0.0,0.03710431,658.1950144031038,meattest-31_r7_c2.jpg,train,dataset_tile
clahe_percentile,0.7300723,0.19957678,0.2733653934026928,118.97128946101893,7.356046004310606,0.07570266723632812,1.0,21.490102300034426,meattest-31_r7_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.76494426,0.17873621,0.23365882541114935,93.86164539784545,7.1215757398339505,0.054930686950683594,1.0,21.219621412560226,meattest-31_r7_c2.jpg,train,dataset_tile
percentile_only,0.82175213,0.13583931,0.16530428439718117,33.98429286744431,6.59538572265487,0.016742706298828125,1.0,23.318899865555725,meattest-31_r7_c2.jpg,train,dataset_tile
current_zscore,0.0043698335,0.004234558,0.9688216137543718,0.21008300699395477,0.7944044862841968,0.0,0.036793813,855.2572733952397,6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,dataset_tile
clahe_percentile,0.8195551,0.15858011,0.19349512345263029,83.9089679569006,6.745277682047392,0.043602943420410156,1.0,26.570032528147244,6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.84097636,0.14848723,0.17656506903274455,70.38370989591832,6.503781348456499,0.035648345947265625,1.0,26.037799551487698,6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,dataset_tile
percentile_only,0.8890107,0.12683822,0.1426732834179738,27.84328452065529,5.7710620230582546,0.016178131103515625,1.0,28.606417706096334,6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,dataset_tile
current_zscore,0.0020295682,0.0031022136,1.5277564307445544,0.2486362446761632,0.790994960950753,0.0,0.035862327,780.0645799422407,6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,dataset_tile
clahe_percentile,0.7743401,0.13074522,0.16884706024656088,90.30449263109767,6.629171885333298,0.03783226013183594,1.0,24.423649358060864,6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.8002381,0.11890873,0.148591511162686,69.8367776009099,6.398829178627308,0.02679920196533203,1.0,24.36808574370817,6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,dataset_tile
percentile_only,0.86001116,0.09040569,0.10512140624906816,24.281455766395084,5.775713388400436,0.009716033935546875,1.0,26.79404778875694,6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,dataset_tile
current_zscore,-0.003182146,0.0040459307,-1.2718469040365696,0.059243202164907416,0.6493812843925562,0.0,0.03136013,1386.9358821797407,3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,dataset_tile
clahe_percentile,0.55914503,0.18804215,0.33630239280765095,96.57384411368432,7.370993183012417,0.0896453857421875,1.0,23.97953446879551,3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,dataset_tile
mild_clahe_percentile,0.59190625,0.16388902,0.27688294207142977,76.80329077269457,7.151852757115268,0.07106399536132812,1.0,26.782801040965946,3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,dataset_tile
percentile_only,0.6151287,0.14638536,0.2379747844139855,28.427802360616624,6.711720791345396,0.02028656005859375,1.0,38.43318941603755,3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,dataset_tile
current_zscore,0.0018476222,0.005381448,2.911058918971889,0.08881092056162743,0.8544521848015325,0.0,0.036483318,800.426796066037,6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,dataset_tile
clahe_percentile,0.72870344,0.23068106,0.3165632721911826,51.47119951389959,7.295621630989839,0.03911304473876953,1.0,20.649314174684765,6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,dataset_tile
mild_clahe_percentile,0.7595873,0.2085453,0.27455043831710524,41.798587662153295,7.112456712895238,0.03107452392578125,1.0,21.584240198057746,6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,dataset_tile
percentile_only,0.8176851,0.15754926,0.19267694142626118,14.688944808723136,6.604292735775716,0.009552955627441406,1.0,27.379916981390526,6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,dataset_tile
current_zscore,-0.005426249,0.008830178,-1.6276078011882664,0.06481361387704965,1.0658861811102964,0.0,0.037725303,647.3014283646398,meattest-31_r7_c0.jpg,train,dataset_tile
clahe_percentile,0.6355849,0.24828085,0.3906330467845687,103.52543044090271,7.628140350090747,0.08164787292480469,1.0,16.519031349934245,meattest-31_r7_c0.jpg,train,dataset_tile
mild_clahe_percentile,0.6477364,0.23672424,0.36546330862780835,83.50688270974098,7.550273590688199,0.0684356689453125,1.0,17.631482906305706,meattest-31_r7_c0.jpg,train,dataset_tile
percentile_only,0.6346105,0.23898071,0.3765779855173995,31.614176746456906,7.3393440495141355,0.02872180938720703,1.0,23.931781459897508,meattest-31_r7_c0.jpg,train,dataset_tile
current_zscore,0.00056232,0.005212729,9.253583907451848,0.13355827318446245,0.9797697305870966,0.0,0.036483318,1260.722966930995,6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,dataset_tile
clahe_percentile,0.68926847,0.23171772,0.3361787091650749,62.12202930175317,7.437119903729895,0.04043102264404297,1.0,26.81793598512469,6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,dataset_tile
mild_clahe_percentile,0.71254134,0.21402027,0.3003614726864028,56.91575145719162,7.21858662685324,0.03506660461425781,1.0,27.70356843129905,6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,dataset_tile
percentile_only,0.76760465,0.17576186,0.22897416636125184,21.529498819247237,6.697364086097627,0.007796287536621094,1.0,37.604698008903405,6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,dataset_tile
current_zscore,0.0009796171,0.0050728894,5.173160117226028,0.19896507262819796,0.9643130505307951,0.0,0.03632807,838.3895387355881,6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,dataset_tile
clahe_percentile,0.70092845,0.19901116,0.28392466892103235,127.44306636135883,7.434363735294398,0.09193992614746094,1.0,22.267546093993754,6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,dataset_tile
mild_clahe_percentile,0.7351233,0.184192,0.2505589975123959,105.08226955675855,7.218053955414771,0.0752410888671875,1.0,22.648917525322723,6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,dataset_tile
percentile_only,0.79674435,0.1519589,0.19072455001432076,39.682445721670774,6.637914236207645,0.02639007568359375,1.0,28.04732725003566,6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,dataset_tile
current_zscore,0.00034985298,0.004514843,12.86819103851308,0.024934768644016003,0.9806034404858299,0.0,0.024063464,2164.547487661002,"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2_r8_c0.jpg",train,dataset_tile
clahe_percentile,0.6707196,0.2029143,0.30253177023540645,88.9935144060837,7.262719661241102,0.0755615234375,1.0,32.54227792773426,"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2_r8_c0.jpg",train,dataset_tile
mild_clahe_percentile,0.6808787,0.19659993,0.2887440040639467,78.74792045912181,7.084601927433454,0.06382369995117188,1.0,34.61864401496733,"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2_r8_c0.jpg",train,dataset_tile
percentile_only,0.63614345,0.21701585,0.34114240710425997,37.08835378329968,6.59021275911687,0.016594886779785156,1.0,45.148237271430084,"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2_r8_c0.jpg",train,dataset_tile
current_zscore,-0.0030755966,0.0042488235,-1.3819124904474611,0.03530883785788319,0.6724882347057928,0.0,0.029807648,1405.179505507189,3rd Meat_grid_5x5_r0_c1_r2_c0.jpg,train,dataset_tile
clahe_percentile,0.54931927,0.22345866,0.40679122170108123,65.22314419915256,7.61154101632923,0.053012847900390625,1.0,24.98509563309915,3rd Meat_grid_5x5_r0_c1_r2_c0.jpg,train,dataset_tile
mild_clahe_percentile,0.5729708,0.20163013,0.3519023584625089,56.83402816999205,7.398396687982144,0.04169273376464844,1.0,26.93469953073421,3rd Meat_grid_5x5_r0_c1_r2_c0.jpg,train,dataset_tile
percentile_only,0.61375177,0.15818197,0.2577291269770735,23.06829038738215,6.777196981800615,0.008509635925292969,1.0,37.83992435303229,3rd Meat_grid_5x5_r0_c1_r2_c0.jpg,train,dataset_tile
current_zscore,0.0028538117,0.00483395,1.6932641000792907,0.17667484268076805,0.7543115371091735,0.0,0.027323676,1690.3648574141578,6 BEEF Shoulder -1_grid_5x5_r1_c4_r8_c1.jpg,train,dataset_tile
clahe_percentile,0.7396655,0.2097948,0.28363431642249476,126.16522025712402,7.085814710160725,0.05353355407714844,1.0,34.387970901106804,6 BEEF Shoulder -1_grid_5x5_r1_c4_r8_c1.jpg,train,dataset_tile
mild_clahe_percentile,0.7697966,0.19332038,0.25113143530240123,98.62611769607975,6.874272175994566,0.030755996704101562,1.0,35.69949442205088,6 BEEF Shoulder -1_grid_5x5_r1_c4_r8_c1.jpg,train,dataset_tile
percentile_only,0.8083122,0.18870154,0.23345102547805552,38.62876509396301,6.186253302065936,0.00623321533203125,1.0,43.37368763848562,6 BEEF Shoulder -1_grid_5x5_r1_c4_r8_c1.jpg,train,dataset_tile
current_zscore,-0.009240229,0.0060838736,-0.6584828425769643,0.02853202819460421,1.0043556792485715,0.0,0.037414808,701.6646682190932,meattest-31_r5_c6.jpg,train,dataset_tile
clahe_percentile,0.5296689,0.21848749,0.4124974347727404,102.01566123192606,7.76585774273215,0.0860605239868164,1.0,18.241506863216713,meattest-31_r5_c6.jpg,train,dataset_tile
mild_clahe_percentile,0.5467183,0.19881238,0.3636461720947331,86.51876066229306,7.623798275984122,0.0723257064819336,1.0,19.175715124349576,meattest-31_r5_c6.jpg,train,dataset_tile
percentile_only,0.5339166,0.16675594,0.3123252479451441,34.94568151736803,7.231168279759669,0.028470993041992188,1.0,25.616633272269652,meattest-31_r5_c6.jpg,train,dataset_tile
current_zscore,0.004021018,0.0048160977,1.1974332034107544,0.16863155324881518,0.6726851402569367,0.0,0.03694906,527.642026406013,meattest-31_r3_c2.jpg,train,dataset_tile
