name,composite_score,technical_quality,color_characteristics,biological_relevance,laplacian_variance,entropy,local_contrast,edge_density,golden_ratio,pink_ratio,balance_score,adipocyte_coverage,background_quality,meets_threshold
12.12 Beef Shoulder 2_grid_5x5_r4_c3.jpg,0.7029677291604138,0.896961080742521,0.5844568354676863,0.5584936177988608,13.010431668894439,7.005565064141251,1.691159782897609,0.016436902290693972,2.0725010611205434e-06,0.9671234493547061,4.145002122241087e-06,0.28654850440033425,0.5081586618220759,True
B. Shoulder 1.2_grid_5x5_r1_c0.jpg,0.6885398279373696,0.9152593415961391,0.5353967955832127,0.5401888513791582,11.644289810094309,7.055011692066241,1.6049421970688287,0.012325899214086205,6.305470121439752e-07,0.9896111524669882,1.2610940242879503e-06,0.2668806555563082,0.47709119324585236,True
12.12 Beef Shoulder 3_grid_5x5_r7_c0.jpg,0.6807039595761722,0.8991483908975741,0.548347615780415,0.5164917507759892,13.702850711048365,7.168069349114987,1.7623071657258464,0.01741355242355949,5.0898378510439036e-06,0.968833484405622,1.0179675702087807e-05,0.2568822353151539,0.4247575801382907,True
Beef Shoulder 4_grid_5x5_r6_c1.jpg,0.678521230925597,0.8856411356763829,0.5725676317341677,0.49546442219234077,15.733455691547485,6.710698555070695,0.8134084371158716,0.0071729368904856405,6.999475879246163e-08,0.9648170784971621,1.3998951758492325e-07,0.15258749624828094,0.44809807897676135,True
B. Shoulder 1.3_grid_5x5_r1_c5.jpg,0.6775094999201657,0.9311430098482548,0.5161400960291702,0.4976130494826169,7.954494610582536,6.823852192636857,1.4271620477296993,0.006187861843906826,1.3173928646579481e-06,0.9347631557328614,2.6347857293158962e-06,0.24847020287039412,0.35787330781477666,True
6 BEEF Shoulder -1_grid_5x5_r2_c3.jpg,0.6758934670730703,0.9275530583308317,0.5502449075321619,0.44914610441792413,7.6425800102213035,7.234356922695403,1.4932381862230353,0.01093383156756149,6.508145946771744e-06,0.9256820739628042,1.3016291893543487e-05,0.2649468804677434,0.21970891792454528,True
Test 6 BEEF Shoulder -4.jpg,0.674111897723475,0.9375259266483784,0.5403609203920765,0.4399008197075872,6.471189929200832,6.897459442209764,2.1457216732845246,0.005282200608621897,7.261845786914734e-07,0.9942618214927398,1.4523691573829469e-06,0.25663112147193123,0.21151716875171933,True
12.12 Beef Shoulder 2_grid_5x5_r1_c3.jpg,0.6736680779335957,0.8931058032890355,0.5350576580951925,0.5166223051386567,12.508229769261758,6.989610430642559,1.5083417232843819,0.01725114696501509,1.243078395369551e-05,0.9005308485217095,2.486156790739102e-05,0.26459946032382015,0.39374002428493926,True
Test B. Shoulder 2.0.jpg,0.6693475850106855,0.8434980551277055,0.592345820562924,0.49850930305031993,20.624536541085902,7.291703545801665,1.9276521010091214,0.032485206959964257,1.1883020378587747e-06,0.9672867710823266,2.3766040757175495e-06,0.27104773382879366,0.3487918447724009,True
12.12 Beef Shoulder 2_grid_5x5_r4_c2.jpg,0.667291099002403,0.9055817976248781,0.5156530295289402,0.49831927846929075,12.123014909902881,6.7585766435111845,1.4763159109907535,0.011966206626697793,3.367814224320883e-06,0.8362398779048175,6.735628448641766e-06,0.2849415388900679,0.3265807769761736,True
Test B. Shoulder 3.jpg,0.6666383212162426,0.8705526548930843,0.5536751370984909,0.49852384509814773,18.455997707423787,6.816407824887218,1.197533973455392,0.021265659635046594,6.181612672625756e-06,0.8536328785948386,1.2363225345251512e-05,0.19852094839315002,0.41302492250959577,True
12.12 Beef Shoulder 2_grid_5x5_r2_c3.jpg,0.666218031692321,0.8779683069698339,0.5452374695938925,0.4967903781861002,17.157727530514837,7.03873186477857,1.5110862286319522,0.021496034489840627,2.657305265463895e-05,0.8802410166867961,5.31461053092779e-05,0.25298194689857345,0.3376900783402056,True
12.12 Beef Shoulder 2_grid_5x5_r0_c2.jpg,0.6652927811358732,0.9285476655281618,0.49223521386391994,0.48636556028894606,8.958159916738712,6.86314393749166,1.6221795526235678,0.007205058031943872,7.881837651799689e-06,0.857279613460269,1.5763675303599378e-05,0.27783728815421954,0.3090458727782043,True
12.12 Beef Shoulder 3_grid_5x5_r7_c1.jpg,0.6650058083077245,0.9129744777540114,0.5140009215012598,0.47966277872271573,8.430272923264413,6.734075439780571,1.1374395452783719,0.009888337809440012,3.319459468072111e-07,0.8610768592071183,6.638918936144222e-07,0.24755842691258403,0.32459845758858874,True
Beef Shoulder 4_grid_5x5_r3_c3.jpg,0.6647678844040703,0.8772480320745846,0.5336656890155532,0.5083427216751712,14.273711334453063,7.098221605521869,1.273502404525043,0.022233819533121372,1.9141605725799244e-06,0.9216889998911856,3.828321145159849e-06,0.2791505149046901,0.35551609444150356,True
6 BEEF Shoulder -1_grid_5x5_r2_c1.jpg,0.6646740099480813,0.9080041373989959,0.5442114150083229,0.4439934389422798,8.649267592609124,7.1979201970552005,1.5517623412488546,0.015479467497643555,1.855609778595127e-05,0.8259249088769489,3.711219557190254e-05,0.27153582651021413,0.203649886644252,True
