tile_name,category,wsi_base,size_match,size_diff,ssim,correlation,mse,psnr,mean_abs_diff,max_abs_diff,pseudo_mean,pseudo_std,ecm_mean,ecm_std
12.12 Beef Shoulder 2_grid_5x5_r2_c1.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.07053424455214048,0.04167822126149427,1802.0859573809971,15.573048583947253,24.874454370405413,255.0,235.73815120718527,29.57627647161003,234.99917337538662,31.700756035868242
12.12 Beef Shoulder 2_grid_5x5_r4_c6.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.13420962349720808,0.0,3816.2509615803697,12.314434341320414,44.623180238660794,236.0,210.3768197613392,42.72028495888526,255.0,0.0
12.12 Beef Shoulder 2_grid_5x5_r3_c5.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.0016110522234642863,-0.02159302184360183,3783.0491509894664,12.352383769992116,47.85467781509816,255.0,198.9692082650541,44.59433505918916,220.81741630749508,35.34103289642745
12.12 Beef Shoulder 2_grid_5x5_r3_c3.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.033002394568196626,0.013671003879356027,5405.7638471051405,10.802232914140596,56.14367372482977,255.0,192.71842610526483,50.64696468514467,222.40893321399182,44.959787065971426
12.12 Beef Shoulder 2_grid_5x5_r0_c6.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.10448292635757463,0.0,2237.335754399975,14.6334919780776,25.954309560286642,255.0,229.04569043971335,39.5437677725427,255.0,0.0
12.12 Beef Shoulder 2_grid_5x5_r1_c2.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.32333021315281163,0.3169285401657008,1940.3435837833038,15.25201722005097,24.305292224610696,255.0,228.30070199624578,38.8169348119782,235.56888321882,35.369632278426344
2nd Meat_grid_5x5_r0_c1.jpg,perfect_match,2nd Meat,True,match,0.7504763093471772,0.637979806442688,1492.7492228155288,16.39093507124972,29.371440747850134,226.0,197.4328964913774,48.95241893232362,196.2982693095941,39.62567239057422
2nd Meat_grid_5x5_r2_c1.jpg,perfect_match,2nd Meat,True,match,0.743421353332387,0.5239882689336542,1821.4174465576018,15.526708686920994,33.87330113387776,205.0,190.0824926076202,48.506549892820544,185.713979367225,35.18748675917526
2nd Meat_grid_5x5_r2_c0.jpg,perfect_match,2nd Meat,True,match,0.7449825600107157,0.5747098238166243,1621.1004433803914,16.032704363004502,31.447563691703827,218.0,195.117562540355,47.615574067150035,191.99216514936037,37.00568944128472
2nd Meat_grid_5x5_r0_c0.jpg,perfect_match,2nd Meat,True,match,0.7512901244677089,0.6498882200657748,1469.6441928189042,16.458681579560995,28.713596070112743,207.0,198.9313025861195,49.14380167903102,197.33614626735985,40.42448778110898
2nd Meat_grid_5x5_r1_c0.jpg,perfect_match,2nd Meat,True,match,0.7477322896361445,0.5677138511863059,1415.574402775896,16.621476599920694,30.04912399604905,215.0,198.55826463823897,44.58185333396655,196.94285095706226,33.43413798777084
2nd Meat_grid_5x5_r1_c1.jpg,perfect_match,2nd Meat,True,match,0.7460286994452581,0.5160662538432358,1514.5965734672454,16.327833909000812,31.87233171580112,206.0,195.0274757192848,44.42249136764102,193.18784472418704,30.88785427893795
"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7476513677724088,0.6384777908168107,1009.3251465503596,18.090492673709207,24.849521954462716,190.0,208.8845824737977,40.61440546110771,209.42109273857574,31.58335697702258
"4th Meat, 400 g, 3 wts_grid_5x5_r1_c0.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.749362699458722,0.5332039324659922,1187.693759402657,17.383758863393876,28.633910620141187,186.0,201.90253028307117,40.11355264452038,201.6935263404709,27.39117271081882
"4th Meat, 400 g, 3 wts_grid_5x5_r3_c1.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7559345093758095,0.5447569876890658,949.8009352979649,18.35447767958671,25.812133946076784,173.0,208.37338841734197,36.419349286515384,208.86685458392876,23.938709784430458
"4th Meat, 400 g, 3 wts_grid_5x5_r1_c1.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7520455075346387,0.5954126274092456,727.7730716025767,19.510843786899198,22.187115411361663,198.0,215.29572767842558,33.20059906490469,217.01339963069762,23.417567023141885
"4th Meat, 400 g, 3 wts_grid_5x5_r3_c0.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7608387348909268,0.5225749823720405,893.7434467593733,18.618674904466634,25.607283771257876,161.0,208.6183391354322,34.78008510924366,210.15361170155577,21.649399483321936
"4th Meat, 400 g, 3 wts_grid_5x5_r0_c0.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7490251642837557,0.5536792368114463,1057.248794968361,17.889031620491046,26.93418208038838,199.0,205.6237849096348,38.570263081007184,205.98393656715072,26.406649830362518
"5th meat, 400g, placeholder and black plate_grid_5x5_r3_c1.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7563564305752436,0.7375435275202277,478.97244174706316,21.32769834387549,14.407203481696815,212.0,227.13599211280987,31.55488590133186,226.86385586231475,28.255554011752075
"5th meat, 400g, placeholder and black plate_grid_5x5_r0_c2.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7616671239820415,0.6350832512829916,893.0044319917067,18.622267465652925,21.99169177501702,204.0,211.1799121073025,37.242426260262455,208.44132739133462,31.262909882950076
"5th meat, 400g, placeholder and black plate_grid_5x5_r3_c0.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7521474220424532,0.6955802928536949,405.2042746290477,22.05406342644585,14.329939874198143,189.0,227.9516030426932,27.32630735465221,228.1601290063026,23.448826462165584
"5th meat, 400g, placeholder and black plate_grid_5x5_r2_c0.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7538241003364945,0.6597755052710017,438.0687376300188,21.715380996076078,15.647284856308545,160.0,225.38125221892497,27.312973714928912,225.4363275090907,22.119590192485123
"5th meat, 400g, placeholder and black plate_grid_5x5_r3_c2.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.9868021942008381,0.2913673788194446,8.05279697837712,39.071336107736165,2.5903871908053913,20.0,251.4990074207375,1.189257087308817,254.08799224571237,0.5825018514103183
"5th meat, 400g, placeholder and black plate_grid_5x5_r1_c2.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.742732255516067,0.5804126574151518,1278.0628471439277,17.065281506318186,26.611368089728796,198.0,200.49430644235574,41.678273916828694,195.74038126351272,34.367510018909826
MeatLarge_grid_5x5_r2_c1.jpg,perfect_match,MeatLarge,True,match,0.8003372591121632,0.8438586465316248,109.4221592665965,27.73975080253592,5.468895139436468,164.0,246.25071480725393,18.789832842454093,248.99746696318843,15.37507471848679
